index_7networks,name_7networks,x,y,z,index_17networks,name_17networks,17net,7net,index,region
819.0,7Networks_RH_Limbic_OFC_8,5.0,20.0,-20.0,807.0,17Networks_RH_LimbicB_OFC_10,LimbicB,Limbic,817,7Networks_RH_Limbic_OFC_8
820.0,7Networks_RH_Limbic_OFC_9,3.0,41.0,-25.0,808.0,17Networks_RH_LimbicB_OFC_11,LimbicB,Limbic,818,7Networks_RH_Limbic_OFC_9
821.0,7Networks_RH_Limbic_OFC_10,7.0,55.0,-22.0,809.0,17Networks_RH_LimbicB_OFC_12,LimbicB,Limbic,819,7Networks_RH_Limbic_OFC_10
822.0,7Networks_RH_Limbic_OFC_11,15.0,60.0,-18.0,810.0,17Networks_RH_LimbicB_OFC_13,LimbicB,Limbic,820,7Networks_RH_Limbic_OFC_11
823.0,7Networks_RH_Limbic_OFC_12,4.0,26.0,-12.0,811.0,17Networks_RH_LimbicB_OFC_14,LimbicB,Limbic,821,7Networks_RH_Limbic_OFC_12
824.0,7Networks_RH_Limbic_OFC_13,7.0,64.0,-11.0,812.0,17Networks_RH_LimbicB_OFC_15,LimbicB,Limbic,822,7Networks_RH_Limbic_OFC_13
825.0,7Networks_RH_Limbic_OFC_14,21.0,62.0,-10.0,813.0,17Networks_RH_LimbicB_OFC_16,LimbicB,Limbic,823,7Networks_RH_Limbic_OFC_14
826.0,7Networks_RH_Limbic_TempPole_1,28.0,2.0,-44.0,814.0,17Networks_RH_LimbicA_TempPole_1,LimbicA,Limbic,824,7Networks_RH_Limbic_TempPole_1
827.0,7Networks_RH_Limbic_TempPole_2,35.0,11.0,-40.0,815.0,17Networks_RH_LimbicA_TempPole_2,LimbicA,Limbic,825,7Networks_RH_Limbic_TempPole_2
828.0,7Networks_RH_Limbic_TempPole_3,49.0,-5.0,-40.0,816.0,17Networks_RH_LimbicA_TempPole_3,LimbicA,Limbic,826,7Networks_RH_Limbic_TempPole_3
829.0,7Networks_RH_Limbic_TempPole_4,40.0,-9.0,-35.0,817.0,17Networks_RH_LimbicA_TempPole_4,LimbicA,Limbic,827,7Networks_RH_Limbic_TempPole_4
830.0,7Networks_RH_Limbic_TempPole_5,31.0,-9.0,-35.0,818.0,17Networks_RH_LimbicA_TempPole_5,LimbicA,Limbic,828,7Networks_RH_Limbic_TempPole_5
831.0,7Networks_RH_Limbic_TempPole_6,20.0,0.0,-31.0,819.0,17Networks_RH_LimbicA_TempPole_6,LimbicA,Limbic,829,7Networks_RH_Limbic_TempPole_6
832.0,7Networks_RH_Limbic_TempPole_7,24.0,8.0,-31.0,820.0,17Networks_RH_LimbicA_TempPole_7,LimbicA,Limbic,830,7Networks_RH_Limbic_TempPole_7
833.0,7Networks_RH_Limbic_TempPole_8,50.0,-19.0,-31.0,821.0,17Networks_RH_LimbicA_TempPole_8,LimbicA,Limbic,831,7Networks_RH_Limbic_TempPole_8
834.0,7Networks_RH_Limbic_TempPole_9,42.0,-21.0,-25.0,822.0,17Networks_RH_LimbicA_TempPole_9,LimbicA,Limbic,832,7Networks_RH_Limbic_TempPole_9
835.0,7Networks_RH_Limbic_TempPole_10,37.0,21.0,-32.0,823.0,17Networks_RH_LimbicA_TempPole_10,LimbicA,Limbic,833,7Networks_RH_Limbic_TempPole_10
836.0,7Networks_RH_Limbic_TempPole_11,59.0,-20.0,-30.0,824.0,17Networks_RH_LimbicA_TempPole_11,LimbicA,Limbic,834,7Networks_RH_Limbic_TempPole_11
837.0,7Networks_RH_Limbic_TempPole_12,22.0,-13.0,-30.0,825.0,17Networks_RH_LimbicA_TempPole_12,LimbicA,Limbic,835,7Networks_RH_Limbic_TempPole_12
838.0,7Networks_RH_Limbic_TempPole_13,44.0,-30.0,-23.0,826.0,17Networks_RH_LimbicA_TempPole_13,LimbicA,Limbic,836,7Networks_RH_Limbic_TempPole_13
839.0,7Networks_RH_Limbic_TempPole_14,32.0,10.0,-27.0,827.0,17Networks_RH_LimbicA_TempPole_14,LimbicA,Limbic,837,7Networks_RH_Limbic_TempPole_14
840.0,7Networks_RH_Limbic_TempPole_15,33.0,-22.0,-26.0,975.0,17Networks_RH_DefaultC_PHC_1,DefaultC,Limbic,838,7Networks_RH_Limbic_TempPole_15
841.0,7Networks_RH_Limbic_TempPole_16,22.0,-22.0,-24.0,976.0,17Networks_RH_DefaultC_PHC_2,DefaultC,Limbic,839,7Networks_RH_Limbic_TempPole_16
